Calendar Years,Male Smokers,Female Smokers,"White, Non-Hispanic Smokers","Black, Non-Hispanic Smokers",Hispanic Smokers,"Male, White Non-Hispanic Smokers ","Male, Black Non-Hispanic Smokers ","Male, Hispanic Smokers","Female, White Non-Hispanic Smokers ","Female, Black Non-Hispanic Smokers ","Female, Hispanic Smokers"
1995-97,22.2,19.6,21.2,21.7,16.6,21.8,25.2,20.4,20.6,18.9,13.1
1996-98,22.8,19.8,21.2,22.2,20.4,22.1,25.1,23.3,20.2,19.8,18
1997-99,22.7,19.5,21,21.8,22.8,22.2,24.6,25.9,19.8,19.5,19.9
1998-00,22.8,19.5,20.9,22.2,21.2,22.1,25.5,24.5,19.8,19.6,18.5
1999-01,22.9,18.5,20.7,22.4,19.3,21.9,27.4,23.1,19.5,18.4,15.9
2000-02,24.1,18.6,21,23.2,19,22.3,30.2,23.1,19.8,17.8,14.8
2001-03,24.3,18.1,20.9,22.8,18.8,22.4,30.4,24.4,19.5,17,13
2002-04,23.7,17.7,20.6,21.4,17.2,22,28,24.1,19.3,16.1,10.4
2003-05,21.7,17.6,19.2,21.4,17.8,20.1,26.5,21.8,18.5,17.1,14.2
2004-06,20.4,17.2,18.4,21.1,15.6,18.8,25.9,16.1,17.9,17.2,15.1
2005-07,18.9,16.9,17.6,20.8,14.5,17.7,24.6,14.1,17.5,17.8,14.9
2006-08,17.8,15.4,17,18.3,11.1,17.7,21.1,12.8,16.4,16.1,8.9
2007-09,17,14.5,16.2,17.2,11.6,17.1,19.1,15.2,15.4,15.6,7.1
2008-10,16.7,13.7,15.4,16.8,9.5,16.4,19.5,12.9,14.5,14.7,5.3
