Year,% Illegal Tobacco Sales to Minors,Lower 95% Confidence Interval,Upper 95% Confidence Interval
1997,21.7,17.9,25.5
1998,13.1,10,16.2
1999,16.9,13.5,20.4
2000,12.5,10.1,15
2001,17.1,14.2,20
2002,19.3,16.2,22.5
2003,12.2,8.9,15.5
2004,14,11.5,16.5
2005,10.2,8,12.4
2006,13.2,10.6,15.8
2007,10.7,8.5,12.9
2008,12.6,10.2,15
2009,8.6,6.2,11
2010,7.7,5.8,9.6
2011,5.6,4,7.2
2012,8.7,6.7,10.8
2013,7.6,5.7,9.5
2014,9,7,11.1
,,,
,,,
https://catalog.data.gov/dataset/tobacco-sold-to-minors-california-1997-2014-d1901,,,
